cluster,taxonomy,count
-1,Rhinovirus A,1782
-1,Rhinovirus B,1651
-1,HCoV-229E,716
-1,HCoV-OC43,549
-1,Rhinovirus C,235
-1,SARS-CoV-2,158
0,Rhinovirus A,142
1,Rhinovirus A,58
2,Rhinovirus B,81
3,Rhinovirus A,53
4,Rhinovirus A,76
5,Rhinovirus A,99
6,Rhinovirus B,91
6,Rhinovirus A,26
7,Rhinovirus A,138
8,Rhinovirus A,123
9,Rhinovirus A,126
10,Rhinovirus A,102
11,Rhinovirus A,102
12,Rhinovirus A,84
13,Rhinovirus A,92
14,Rhinovirus A,112
15,Rhinovirus A,65
16,SARS-CoV-2,51
16,Rhinovirus B,47
17,Rhinovirus A,180
18,Rhinovirus A,83
19,Rhinovirus A,101
20,Rhinovirus A,60
21,Rhinovirus A,110
22,SARS-CoV-2,194
23,Rhinovirus A,178
24,Rhinovirus A,133
24,Rhinovirus B,34
25,Rhinovirus A,52
25,Rhinovirus B,15
26,Rhinovirus A,120
27,Rhinovirus A,87
28,Rhinovirus A,178
29,Rhinovirus A,67
29,HCoV-OC43,13
29,Rhinovirus B,1
30,Rhinovirus A,187
31,Rhinovirus A,102
32,Rhinovirus A,73
33,Rhinovirus B,52
33,Rhinovirus C,17
33,Rhinovirus A,11
34,Rhinovirus A,98
35,Rhinovirus B,200
36,Rhinovirus A,74
37,Rhinovirus A,121
38,SARS-CoV-2,126
39,Rhinovirus A,55
40,Rhinovirus A,118
41,Rhinovirus A,119
42,Rhinovirus A,159
43,HCoV-OC43,50
44,Rhinovirus A,97
45,Rhinovirus A,98
46,Rhinovirus B,129
47,Rhinovirus A,110
48,Rhinovirus A,67
49,Rhinovirus B,52
50,HCoV-OC43,60
51,Rhinovirus B,54
52,Rhinovirus A,64
53,Rhinovirus B,100
54,Rhinovirus B,50
54,Rhinovirus A,37
55,Rhinovirus A,60
56,HCoV-OC43,77
57,Rhinovirus A,219
58,Rhinovirus A,128
59,Rhinovirus A,70
60,Rhinovirus A,207
61,Rhinovirus B,64
62,Rhinovirus A,198
63,Rhinovirus B,76
64,Rhinovirus A,157
64,Rhinovirus B,20
65,HCoV-OC43,64
66,Rhinovirus A,83
67,Rhinovirus A,109
68,Rhinovirus A,81
69,Rhinovirus A,61
70,Rhinovirus A,162
71,Rhinovirus A,86
72,Rhinovirus B,152
73,Rhinovirus B,60
73,Rhinovirus A,47
74,Rhinovirus B,64
74,Rhinovirus A,30
74,Rhinovirus C,4
75,Rhinovirus B,62
76,Rhinovirus B,67
77,Rhinovirus A,124
78,Rhinovirus B,78
79,Rhinovirus B,60
80,Rhinovirus A,50
81,SARS-CoV-2,207
82,Rhinovirus A,96
83,SARS-CoV-2,128
84,Rhinovirus C,130
85,HCoV-OC43,108
86,Rhinovirus A,130
87,Rhinovirus A,65
88,Rhinovirus C,63
89,SARS-CoV-2,80
90,HCoV-OC43,45
90,Rhinovirus B,18
91,Rhinovirus A,133
92,Rhinovirus B,95
93,Rhinovirus A,123
94,SARS-CoV-2,33
94,HCoV-OC43,32
94,Rhinovirus B,27
95,Rhinovirus A,87
96,HCoV-229E,94
96,SARS-CoV-2,20
97,Rhinovirus B,53
98,Rhinovirus A,51
99,Rhinovirus C,103
99,Rhinovirus A,1
99,Rhinovirus B,1
100,Rhinovirus A,63
101,SARS-CoV-2,211
102,SARS-CoV-2,159
102,Rhinovirus A,15
103,Rhinovirus A,52
104,Rhinovirus A,177
104,Rhinovirus C,2
105,Rhinovirus A,109
106,Rhinovirus C,201
107,Rhinovirus C,169
108,Rhinovirus B,125
109,Rhinovirus C,129
109,Rhinovirus A,19
110,Rhinovirus A,51
110,Rhinovirus B,13
111,Rhinovirus A,47
111,Rhinovirus B,6
112,Rhinovirus B,104
113,Rhinovirus A,151
114,Rhinovirus A,60
115,Rhinovirus A,52
116,Rhinovirus A,525
117,Rhinovirus C,69
118,Rhinovirus C,508
